,CI negative,CI positive,CI total
0,"41.04 (123/300; 40.86, 41.21)","26.29 (79/300; 26.14, 26.44)","67.33 (202/300; 67.16, 67.49)"
1,"15.37 (46/300; 15.24, 15.5)","17.31 (52/300; 17.17, 17.44)","32.67 (98/300; 32.51, 32.84)"
All,"56.41 (169/300; 56.23, 56.59)","43.59 (131/300; 43.41, 43.77)","100 (300/300; 100, 100)"
