Type,Variable,,OR (95% CI),p-value
Memory-independent covariate,SBQ-LC interviewer,6 vs. 1,"0.434 (0.192, 0.978)",0.044
Memory-independent covariate,MoCA-INA interviewer,6 vs. 1,"0.411 (0.181, 0.933)",0.033
